flat_idx	TianS1_key	TianS1_label	TianS2_key	TianS2_label	TianS3_key	TianS3_label	TianS4_key	TianS4_label
361556	9	HIP-lh	18	pHIP-lh	29	HIP-tail-lh	34	HIP-tail-lh
361651	9	HIP-lh	18	pHIP-lh	28	HIP-body-lh	33	HIP-body-lh
361652	9	HIP-lh	18	pHIP-lh	28	HIP-body-lh	33	HIP-body-lh
361653	9	HIP-lh	18	pHIP-lh	29	HIP-tail-lh	34	HIP-tail-lh
361654	9	HIP-lh	18	pHIP-lh	29	HIP-tail-lh	34	HIP-tail-lh
361747	9	HIP-lh	18	pHIP-lh	28	HIP-body-lh	33	HIP-body-lh
361748	9	HIP-lh	18	pHIP-lh	28	HIP-body-lh	33	HIP-body-lh
361749	9	HIP-lh	18	pHIP-lh	28	HIP-body-lh	33	HIP-body-lh
361750	9	HIP-lh	18	pHIP-lh	28	HIP-body-lh	33	HIP-body-lh
361843	9	HIP-lh	18	pHIP-lh	28	HIP-body-lh	33	HIP-body-lh
361844	9	HIP-lh	18	pHIP-lh	28	HIP-body-lh	33	HIP-body-lh
361845	9	HIP-lh	18	pHIP-lh	28	HIP-body-lh	33	HIP-body-lh
361846	9	HIP-lh	18	pHIP-lh	28	HIP-body-lh	33	HIP-body-lh
361847	9	HIP-lh	18	pHIP-lh	28	HIP-body-lh	33	HIP-body-lh
361939	9	HIP-lh	18	pHIP-lh	28	HIP-body-lh	33	HIP-body-lh
361940	9	HIP-lh	18	pHIP-lh	28	HIP-body-lh	33	HIP-body-lh
361941	9	HIP-lh	18	pHIP-lh	28	HIP-body-lh	33	HIP-body-lh
361942	9	HIP-lh	18	pHIP-lh	28	HIP-body-lh	33	HIP-body-lh
361943	9	HIP-lh	18	pHIP-lh	28	HIP-body-lh	33	HIP-body-lh
362036	9	HIP-lh	18	pHIP-lh	28	HIP-body-lh	33	HIP-body-lh
362037	9	HIP-lh	18	pHIP-lh	28	HIP-body-lh	33	HIP-body-lh
362038	9	HIP-lh	18	pHIP-lh	28	HIP-body-lh	33	HIP-body-lh
362039	9	HIP-lh	18	pHIP-lh	28	HIP-body-lh	33	HIP-body-lh
362132	9	HIP-lh	18	pHIP-lh	28	HIP-body-lh	33	HIP-body-lh
362133	9	HIP-lh	18	pHIP-lh	28	HIP-body-lh	33	HIP-body-lh
362134	9	HIP-lh	18	pHIP-lh	28	HIP-body-lh	33	HIP-body-lh
362135	9	HIP-lh	18	pHIP-lh	28	HIP-body-lh	33	HIP-body-lh
362136	9	HIP-lh	18	pHIP-lh	28	HIP-body-lh	33	HIP-body-lh
362228	9	HIP-lh	17	aHIP-lh	27	HIP-head-l-lh	32	HIP-head-l-lh
362229	9	HIP-lh	18	pHIP-lh	28	HIP-body-lh	33	HIP-body-lh
362230	9	HIP-lh	18	pHIP-lh	28	HIP-body-lh	33	HIP-body-lh
362231	9	HIP-lh	18	pHIP-lh	28	HIP-body-lh	33	HIP-body-lh
362232	9	HIP-lh	18	pHIP-lh	28	HIP-body-lh	33	HIP-body-lh
362324	9	HIP-lh	17	aHIP-lh	27	HIP-head-l-lh	32	HIP-head-l-lh
362325	9	HIP-lh	17	aHIP-lh	27	HIP-head-l-lh	32	HIP-head-l-lh
362326	9	HIP-lh	18	pHIP-lh	28	HIP-body-lh	33	HIP-body-lh
