flat_idx	key	within_idx	label	i	j	k	x	y	z
362520	1	200	Tian_Subcortex	32	57	31	-32.5	-18.5	-16.5
362521	1	201	Tian_Subcortex	32	57	32	-32.5	-18.5	-14.5
362522	1	202	Tian_Subcortex	32	57	33	-32.5	-18.5	-12.5
362526	1	203	Tian_Subcortex	32	57	37	-32.5	-18.5	-4.5
362527	1	204	Tian_Subcortex	32	57	38	-32.5	-18.5	-2.5
362528	1	205	Tian_Subcortex	32	57	39	-32.5	-18.5	-0.5
362529	1	206	Tian_Subcortex	32	57	40	-32.5	-18.5	1.5
362530	1	207	Tian_Subcortex	32	57	41	-32.5	-18.5	3.5
362531	1	208	Tian_Subcortex	32	57	42	-32.5	-18.5	5.5
362532	1	209	Tian_Subcortex	32	57	43	-32.5	-18.5	7.5
362613	1	210	Tian_Subcortex	32	58	27	-32.5	-16.5	-24.5
362614	1	211	Tian_Subcortex	32	58	28	-32.5	-16.5	-22.5
362615	1	212	Tian_Subcortex	32	58	29	-32.5	-16.5	-20.5
362616	1	213	Tian_Subcortex	32	58	30	-32.5	-16.5	-18.5
362617	1	214	Tian_Subcortex	32	58	31	-32.5	-16.5	-16.5
362618	1	215	Tian_Subcortex	32	58	32	-32.5	-16.5	-14.5
362622	1	216	Tian_Subcortex	32	58	36	-32.5	-16.5	-6.5
362623	1	217	Tian_Subcortex	32	58	37	-32.5	-16.5	-4.5
362624	1	218	Tian_Subcortex	32	58	38	-32.5	-16.5	-2.5
362625	1	219	Tian_Subcortex	32	58	39	-32.5	-16.5	-0.5
362626	1	220	Tian_Subcortex	32	58	40	-32.5	-16.5	1.5
362627	1	221	Tian_Subcortex	32	58	41	-32.5	-16.5	3.5
362628	1	222	Tian_Subcortex	32	58	42	-32.5	-16.5	5.5
362629	1	223	Tian_Subcortex	32	58	43	-32.5	-16.5	7.5
362708	1	224	Tian_Subcortex	32	59	25	-32.5	-14.5	-28.5
362709	1	225	Tian_Subcortex	32	59	26	-32.5	-14.5	-26.5
